year,month,size
2009,12,0.146
2010,1,0.004
2010,2,0.015
2010,3,0.273
2010,4,0.412
2010,5,0.043
2010,6,0.07
2010,7,0.072
2010,8,0.03
2010,9,0
2010,10,0.019
2010,11,0.025
2010,12,0.074
2011,1,0
2011,2,0.127
2011,3,0.124
2011,4,0.072
2011,5,1.39
2011,6,0.019
2011,7,0.167
2011,8,0.07
2011,9,0.189
2011,10,0.159
2011,11,0.609
2011,12,0.511
2012,1,0.414
2012,2,1.3
2012,3,0.266
2012,4,0.783
2012,5,0.215
2012,6,0.295
2012,7,0.409
2012,8,0.383
2012,9,0.159
2012,10,0.725
2012,11,1.34
2012,12,1.08
2013,1,1.32
2013,2,0.647
2013,3,1
2013,4,1.59
2013,5,0.768
2013,6,0.079
2013,7,0.418
2013,8,0.008
2013,9,0.745
2013,10,1.09
2013,11,0.924
2013,12,2
2014,1,0.506
2014,2,0.396
2014,3,1.1
2014,4,2.52
2014,5,0.738
2014,6,0.759
2014,7,0.917
2014,8,2.2
2014,9,0.963
2014,10,1.15
2014,11,0.862
2014,12,0.523
2015,1,0.826
2015,2,0.7
2015,3,0.386
2015,4,0.396
2015,5,1.2
2015,6,0.906
2015,7,2.77
2015,8,3.82
2015,9,1.32
2015,10,
2015,11,
2015,12,
