Date,total
20160101 (Friday),0
20160102 (Saturday),0
20160103 (Sunday),0
20160104 (Monday),0
20160105 (Tuesday),0
20160106 (Wednesday),0
20160107 (Thursday),32
20160108 (Friday),17
20160109 (Saturday),0
20160110 (Sunday),20
20160111 (Monday),89
20160112 (Tuesday),44
20160113 (Wednesday),128
20160114 (Thursday),23
20160115 (Friday),25
20160116 (Saturday),13
20160117 (Sunday),7
20160118 (Monday),12
20160119 (Tuesday),16
20160120 (Wednesday),68
20160121 (Thursday),11
20160122 (Friday),41
20160123 (Saturday),0
20160124 (Sunday),0
20160125 (Monday),91
20160126 (Tuesday),91
20160127 (Wednesday),164
20160128 (Thursday),67
20160129 (Friday),35
20160130 (Saturday),0
20160131 (Sunday),20
20160201 (Monday),42
20160202 (Tuesday),78
20160203 (Wednesday),119
20160204 (Thursday),94
20160205 (Friday),28
20160206 (Saturday),2
20160207 (Sunday),2
20160208 (Monday),109
20160209 (Tuesday),52
20160210 (Wednesday),84
20160211 (Thursday),107
20160212 (Friday),12
20160213 (Saturday),2
20160214 (Sunday),15
20160215 (Monday),35
20160216 (Tuesday),308
20160217 (Wednesday),70
20160218 (Thursday),72
20160219 (Friday),100
20160220 (Saturday),162
20160221 (Sunday),123
20160222 (Monday),315
20160223 (Tuesday),78
20160224 (Wednesday),143
20160225 (Thursday),100
20160226 (Friday),91
20160227 (Saturday),292
20160228 (Sunday),132
20160229 (Monday),210
20160301 (Tuesday),387
20160302 (Wednesday),70
20160303 (Thursday),90
20160304 (Friday),37
20160305 (Saturday),11
20160306 (Sunday),7
20160307 (Monday),250
20160308 (Tuesday),50
20160309 (Wednesday),85
20160310 (Thursday),175
20160311 (Friday),84
20160312 (Saturday),18
20160313 (Sunday),32
20160314 (Monday),55
20160315 (Tuesday),12
20160316 (Wednesday),88
20160317 (Thursday),248
20160318 (Friday),70
20160319 (Saturday),10
20160320 (Sunday),12
20160321 (Monday),75
20160322 (Tuesday),95
20160323 (Wednesday),138
20160324 (Thursday),128
20160325 (Friday),56
20160326 (Saturday),5
20160327 (Sunday),38
20160328 (Monday),60
20160329 (Tuesday),48
20160330 (Wednesday),60
20160331 (Thursday),80
20160401 (Friday),111
20160402 (Saturday),22
20160403 (Sunday),12
20160404 (Monday),166
20160405 (Tuesday),91
20160406 (Wednesday),103
20160407 (Thursday),110
20160408 (Friday),69
20160409 (Saturday),11
20160410 (Sunday),13
20160411 (Monday),130
20160412 (Tuesday),50
20160413 (Wednesday),144
20160414 (Thursday),118
20160415 (Friday),51
20160416 (Saturday),10
20160417 (Sunday),3
20160418 (Monday),81
20160419 (Tuesday),64
20160420 (Wednesday),29
20160421 (Thursday),40
20160422 (Friday),34
20160423 (Saturday),8
20160424 (Sunday),0
20160425 (Monday),47
20160426 (Tuesday),71
20160427 (Wednesday),55
20160428 (Thursday),152
20160429 (Friday),67
20160430 (Saturday),12
20160501 (Sunday),35
20160502 (Monday),65
20160503 (Tuesday),93
20160504 (Wednesday),359
20160505 (Thursday),82
20160506 (Friday),7
20160507 (Saturday),1
20160508 (Sunday),0
20160509 (Monday),60
20160510 (Tuesday),80
20160511 (Wednesday),112
20160512 (Thursday),101
20160513 (Friday),38
20160514 (Saturday),3
20160515 (Sunday),11
20160516 (Monday),41
20160517 (Tuesday),19
20160518 (Wednesday),143
20160519 (Thursday),51
20160520 (Friday),152
20160521 (Saturday),0
20160522 (Sunday),8
20160523 (Monday),19
20160524 (Tuesday),21
20160525 (Wednesday),17
20160526 (Thursday),20
20160527 (Friday),26
20160528 (Saturday),12
20160529 (Sunday),1
20160530 (Monday),1
20160531 (Tuesday),67
20160601 (Wednesday),48
20160602 (Thursday),29
20160603 (Friday),10
20160604 (Saturday),0
20160605 (Sunday),1
20160606 (Monday),17
20160607 (Tuesday),110
